scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,112172.5986328125,-3520.79906164138,-4822.031172235706,-4315.723063010266,-5409.100724245234
stress,1,112172.5986328125,-5854.514441126745,-7309.238058196094,-6877.480119757633,-8188.566680675275
normal,10,112172.5986328125,-9413.964868504128,-15959.544186341947,-13265.447230394731,-19859.81520460396
stress,10,112172.5986328125,-17894.52855233029,-24514.71732604121,-21427.542618732034,-26392.52240786005
