sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3045.937911213569,-4618.980840558639,-3992.839581440005,-5406.585028753223
1,7011.T,-2394.119618322078,-3288.772498146625,-2901.8244342346666,-3640.5030653242975
1,8035.T,-2379.487845942179,-3550.861515122016,-2965.4703190240393,-3744.635326454594
10,4568.T,-8160.918452217687,-12214.348434134463,-10963.266945135028,-15494.001819449366
10,7011.T,-6640.2819369160725,-9157.01027975368,-8466.716079561367,-11061.352589498996
10,8035.T,-6459.360904239317,-9547.726280795112,-8293.422233945521,-11111.824359728736
