scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,32875.578125,-1523.7358913153964,-2275.2951632574413,-2026.3398520075664,-2781.3202828354288
stress,1,32875.578125,-2227.394868222279,-2867.9777162746173,-2618.1614219730823,-3274.7941709083534
normal,10,32875.578125,-4858.901530504685,-6962.02737916335,-6259.554490008491,-8689.239971649688
stress,10,32875.578125,-6938.043450952531,-9965.236047042274,-8872.97047740975,-11821.231028808059
