sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2854.0043427989053,-3913.071962539531,-3549.824192455392,-4543.3039999103285
1,7011.T,-2259.496444205993,-3307.844840652536,-2882.328240256412,-3764.7119519592793
1,8035.T,-1938.0657985609291,-2747.4322170069686,-2512.7181735132385,-3219.1112498836233
10,4568.T,-8024.894918532907,-12796.606111809862,-10902.165184117697,-15281.076140489826
10,7011.T,-6473.790763842252,-8997.469822546413,-8127.221070076363,-10840.92493276463
10,8035.T,-6317.691065875086,-9526.178223312312,-8382.005216743006,-11965.740390060726
