scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,105657.6416015625,-3263.499758033857,-4422.078677583457,-4047.271787443828,-5057.144657851202
stress,1,105657.6416015625,-4979.33478808956,-6392.493216407035,-6064.446705974862,-7724.072733534542
normal,10,105657.6416015625,-9371.639749665259,-13680.649424601244,-12331.192249715059,-16839.376250564288
stress,10,105657.6416015625,-18683.77591880498,-26851.68498861533,-23392.007511479183,-32041.408687527837
