sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3283.168598077717,-4493.336276219475,-4187.3263754595455,-5362.488835493308
1,7011.T,-2424.3058303000844,-3515.300615066733,-3032.0209476991768,-4019.4774779271406
1,8035.T,-2331.9869373255083,-3257.846871152138,-2919.5647269581796,-3745.183313121125
10,4568.T,-8073.462347983728,-12583.013734576552,-11178.092662238902,-16144.553765803867
10,7011.T,-6681.033747374253,-9616.30249042251,-8587.882727872879,-11832.605670250647
10,8035.T,-6323.210994298047,-9950.820075604803,-8521.499333852133,-12502.786234016634
