sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2935.8273200947324,-4683.225250802075,-3873.135053516168,-5368.27813015595
1,7011.T,-2258.870705462599,-3265.935033769426,-2888.631744016203,-3972.318697655172
1,8035.T,-2244.6364303490545,-3114.5957921117893,-2842.020876477121,-3787.929354862058
10,4568.T,-7775.918395117006,-12062.731351943108,-10173.406867210719,-13578.492049765056
10,7011.T,-6634.802480019827,-9738.023035191261,-8457.689838213299,-11204.802842971712
10,8035.T,-6711.287822396291,-10105.114613602362,-8730.984637592655,-11483.789050626803
