scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,113567.90869140625,-3376.1621655818735,-5113.689564913472,-4407.070602760047,-5546.487346599982
stress,1,113567.90869140625,-5737.88662788073,-8026.9826525776925,-6966.406273924076,-8664.423893535757
normal,10,113567.90869140625,-9124.339510727661,-13390.787122729718,-12001.028695743695,-16629.28804274476
stress,10,113567.90869140625,-17747.765253212776,-26227.471357261446,-23542.098435816322,-29381.658642468246
