sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2965.612045872563,-4486.534490233769,-3907.1414576312864,-4824.165603939212
1,7011.T,-2148.380292196473,-3143.3657006364174,-2791.106160926737,-3447.1042251138147
1,8035.T,-2266.302373785913,-3291.0188880671394,-2928.0066183852578,-3870.999787487862
10,4568.T,-6735.506557068451,-10640.137702925824,-8954.962616902414,-11619.073294250446
10,7011.T,-6411.265545000349,-9386.477897442546,-8063.79011049811,-10685.009957993392
10,8035.T,-5857.930767851584,-8352.55388441318,-7392.572185193915,-9453.377893297957
