sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3462.542682738698,-4630.154829114354,-4182.030955771524,-5284.767837421516
1,7011.T,-2550.793768566284,-3420.026732039039,-3152.902310720277,-3967.0845807937853
1,8035.T,-2090.6715693092856,-3033.8395543478086,-2657.598109842615,-3382.63467267796
10,4568.T,-9047.517277663854,-12585.342339339952,-11108.256931569485,-14720.265341617114
10,7011.T,-6863.939658368377,-10856.994675043497,-9060.515618890493,-12120.865457159465
10,8035.T,-6226.566929425349,-8513.566178778605,-7965.800147135602,-10624.912926180035
