scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,106704.30346679688,-3441.0541156444547,-4971.543918585075,-4379.637986813795,-5334.315587445963
stress,1,106704.30346679688,-5761.3463108388405,-7604.658253603479,-6908.058454720604,-8492.06725555019
normal,10,106704.30346679688,-9728.223555096874,-14072.480186312701,-12457.379998053186,-16467.76651502973
stress,10,106704.30346679688,-17643.661852225527,-25706.303258949076,-22411.005539391386,-30171.63887144784
