scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,107239.26049804688,-3188.0893781333093,-4370.55253203141,-4024.558522870453,-4993.867150445128
stress,1,107239.26049804688,-5431.625946729891,-7369.7492249251045,-6728.516813554083,-8762.880279980567
normal,10,107239.26049804688,-8735.220252713352,-12503.430200298031,-10752.727055493693,-13667.32753123785
stress,10,107239.26049804688,-17753.402601053254,-26181.341646558354,-22269.876138417003,-28746.715831910307
