sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2942.4899309596053,-4082.013880451043,-3718.9806935226356,-4898.568721728438
1,7011.T,-2336.9043586913044,-3222.8579024808105,-2920.3535591238824,-3772.2833986374853
1,8035.T,-2032.3881841901575,-2998.426833913574,-2599.6183308062655,-3481.5501789619257
10,4568.T,-7750.38720360197,-11857.539315625392,-10399.761970135904,-14053.492669962678
10,7011.T,-6804.114024708068,-9702.784765322165,-8676.63693070991,-11638.10866387477
10,8035.T,-5578.238092991078,-8503.83312334894,-7548.37878040031,-9942.841362505938
