scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,105289.26000976562,-3106.8314719101368,-4429.838191999008,-3981.8343115672506,-5363.774111207492
stress,1,105289.26000976562,-5210.755084967828,-7088.648296079995,-6515.109125098894,-8140.326510334114
normal,10,105289.26000976562,-8432.753170210093,-11929.107880342024,-11232.216219213245,-15340.403098043902
stress,10,105289.26000976562,-17271.452074162546,-23645.14149361005,-21156.379892158126,-27086.076445903564
