sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2916.9952880780716,-3949.4861182620616,-3655.2132644960575,-4595.568145177166
1,7011.T,-2038.2035924062418,-2877.503536419455,-2578.8525578740487,-3490.0279733713805
1,8035.T,-2319.105960006136,-3148.237984870859,-2840.376739825476,-3453.931785307016
10,4568.T,-7241.438426471134,-10229.130123021898,-9363.676297197708,-12779.980749466671
10,7011.T,-5897.043977236473,-8180.7139391386345,-7443.004787634145,-9372.659847014605
10,8035.T,-6220.969460266173,-9057.923408773979,-7973.791361125573,-10383.835036081482
