date,ticker,company_name,quantity,price,market_value,weight
20260122,7011.T,Mitsubishi Heavy Industries,9,4684.68505859375,42162.16552734375,0.3758686706132041
20260122,8035.T,Tokyo Electron,1,42135.46875,42135.46875,0.3756306732977355
20260123,4568.T,Daiichi Sankyo,9,3091.298095703125,27821.682861328125,0.2518157770613292
20260123,7011.T,Mitsubishi Heavy Industries,9,4588.93701171875,41300.43310546875,0.3738127814647437
20260123,8035.T,Tokyo Electron,1,41362.15625,41362.15625,0.3743714414739271
20260126,4568.T,Daiichi Sankyo,9,3078.47119140625,27706.24072265625,0.2533322089676937
20260126,7011.T,Mitsubishi Heavy Industries,9,4547.046875,40923.421875,0.3741835987743003
20260126,8035.T,Tokyo Electron,1,40737.5625,40737.5625,0.3724841922580059
20260127,4568.T,Daiichi Sankyo,9,3003.482666015625,27031.343994140625,0.2465404743512636
20260127,7011.T,Mitsubishi Heavy Industries,9,4538.07080078125,40842.63720703125,0.3725069368715337
20260127,8035.T,Tokyo Electron,1,41768.640625,41768.640625,0.3809525887772026
20260128,4568.T,Daiichi Sankyo,9,2889.026611328125,26001.239501953125,0.2380478814680344
20260128,7011.T,Mitsubishi Heavy Industries,9,4422.375,39801.375,0.36439158977606
20260128,8035.T,Tokyo Electron,1,43424.31640625,43424.31640625,0.3975605287559056
20260129,4568.T,Daiichi Sankyo,9,2891.98681640625,26027.88134765625,0.2417857325523654
20260129,7011.T,Mitsubishi Heavy Industries,9,4516.12841796875,40645.15576171875,0.3775727509007222
20260129,8035.T,Tokyo Electron,1,40975.50390625,40975.50390625,0.3806415165469123
20260130,4568.T,Daiichi Sankyo,9,2798.251220703125,25184.260986328125,0.2360191685630064
20260130,7011.T,Mitsubishi Heavy Industries,9,4507.15185546875,40564.36669921875,0.3801568013781294
20260130,8035.T,Tokyo Electron,1,40955.67578125,40955.67578125,0.3838240300588641
20260202,4568.T,Daiichi Sankyo,9,2877.6796875,25899.1171875,0.2451229915311397
20260202,7011.T,Mitsubishi Heavy Industries,9,4493.1884765625,40438.6962890625,0.3827332853174765
20260202,8035.T,Tokyo Electron,1,39319.828125,39319.828125,0.3721437231513837
20260203,4568.T,Daiichi Sankyo,9,2895.93359375,26063.40234375,0.2391373472630615
20260203,7011.T,Mitsubishi Heavy Industries,9,4635.81396484375,41722.32568359375,0.3828113518729714
20260203,8035.T,Tokyo Electron,1,41203.53125,41203.53125,0.3780513008639671
20260204,4568.T,Daiichi Sankyo,9,2868.30615234375,25814.75537109375,0.2371427780440726
20260204,7011.T,Mitsubishi Heavy Industries,9,4743.53076171875,42691.77685546875,0.3921806121192213
20260204,8035.T,Tokyo Electron,1,40350.90625,40350.90625,0.3706766098367061
20260205,4568.T,Daiichi Sankyo,9,2894.94677734375,26054.52099609375,0.2417516317025547
20260205,7011.T,Mitsubishi Heavy Industries,9,4674.71142578125,42072.40283203125,0.3903764738494193
20260205,8035.T,Tokyo Electron,1,39646.99609375,39646.99609375,0.3678718944480259
20260206,4568.T,Daiichi Sankyo,9,2830.81201171875,25477.30810546875,0.2328742828048195
20260206,7011.T,Mitsubishi Heavy Industries,9,4805.3681640625,43248.3134765625,0.3953094236518126
20260206,8035.T,Tokyo Electron,1,40678.078125,40678.078125,0.3718162935433678
