date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20251217,normal,1,31051.361328125,-1340.2854893079143,-1947.5351526011048,-1650.557667640956,-2065.738096681246
20251217,stress,1,31051.361328125,-2276.7800331563017,-3222.163177562932,-2822.3319432017947,-3466.9531809115592
20251217,normal,10,31051.361328125,-4326.900557428879,-6524.155303143598,-5494.808754961774,-7071.294756092779
20251217,stress,10,31051.361328125,-6528.702994320144,-8895.662907421944,-7972.049498896789,-9987.408100303011
20251218,normal,1,30050.0234375,-1390.3371140410975,-1907.4898342320664,-1760.3013101819993,-2256.5535938391063
20251218,stress,1,30050.0234375,-2084.8981989274375,-2924.552571881669,-2575.5742352692105,-3238.953927016864
20251218,normal,10,30050.0234375,-4413.530773541193,-6190.254200802621,-5609.093214860279,-7347.51275377664
20251218,stress,10,30050.0234375,-6512.18141569989,-9916.488374717286,-8350.08597553158,-10787.50544880329
20251219,normal,1,30932.390625,-1446.1734475372546,-1908.0000287768269,-1754.2642289782775,-2150.9996461124274
20251219,stress,1,30932.390625,-2089.820321553061,-2837.269677415525,-2611.97410998006,-3275.782623678363
20251219,normal,10,30932.390625,-4314.708605173125,-6027.53283334299,-5599.86968041761,-8166.675496237168
20251219,stress,10,30932.390625,-6600.073701440484,-8887.982891789428,-8058.529685841695,-10121.033784247576
20251222,normal,1,32885.4921875,-1622.585159767329,-2199.5849151479983,-2033.2488288025615,-2559.4719500786973
20251222,stress,1,32885.4921875,-2206.912096285433,-3097.4007520842324,-2773.286636011053,-3678.514401104556
20251222,normal,10,32885.4921875,-4900.46675658412,-6749.683289622008,-6150.694583713729,-8215.531425000676
20251222,stress,10,32885.4921875,-7291.960095804218,-9386.9799459885,-8783.399308021693,-11089.744460500102
20251223,normal,1,32716.951171875,-1933.3637201151012,-2557.4642104705235,-2369.058380262337,-3060.716108143984
20251223,stress,1,32716.951171875,-2240.366768848681,-2977.044538463,-2727.876047151677,-3522.175982689189
20251223,normal,10,32716.951171875,-4607.297120204818,-6310.764643341235,-5622.348643887103,-6916.211186225749
20251223,stress,10,32716.951171875,-6674.609905242204,-9837.727315405502,-8712.862278898885,-12250.829902240974
