date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20260227,normal,10,115849.15063476562,-9403.30462515142,-14036.062156098264,-12500.771778027893,-16833.675860118376
20260227,stress,10,115849.15063476562,-17499.64270448569,-25125.294172827005,-21910.59561047578,-28074.804857357183
20260302,normal,1,115856.88818359376,-3602.542747053002,-5038.321674482569,-4609.45354465234,-5992.30170228164
20260302,stress,1,115856.88818359376,-5951.100845784493,-8008.790093639272,-7259.528121985153,-8712.651671465155
20260302,normal,10,115856.88818359376,-9592.32516665145,-14892.820872194929,-12795.307427993774,-17858.220650246272
20260302,stress,10,115856.88818359376,-19078.83589123052,-25049.876706865332,-23175.03232421718,-29300.645043683035
20260303,normal,1,111627.369140625,-3498.9052138902107,-4876.9318474128795,-4344.083925142497,-5588.509720007637
20260303,stress,1,111627.369140625,-5358.894570341505,-7320.381021556957,-6604.7690305796405,-8376.976899389072
20260303,normal,10,111627.369140625,-9408.736053121514,-14719.216456810653,-12730.962678397042,-18002.635040048033
20260303,stress,10,111627.369140625,-18391.91188962928,-26000.691352518825,-22941.25296516194,-31015.25098783995
20260304,normal,1,106828.18676757812,-3965.761988660709,-5484.109471388533,-4986.8519314381565,-6517.175358046026
20260304,stress,1,106828.18676757812,-5202.881801824436,-7024.32773015123,-6478.988975469514,-8114.905051921832
20260304,normal,10,106828.18676757812,-9457.976285257542,-14145.381128523277,-12448.32844140702,-16698.939628580825
20260304,stress,10,106828.18676757812,-17520.867325098072,-22930.498484191463,-21388.986178454892,-26347.27323862557
20260305,normal,1,109425.92846679688,-3852.968450505876,-5550.275224004672,-5040.098333531726,-6825.021259622345
20260305,stress,1,109425.92846679688,-5543.253273426833,-7717.81827353817,-6792.781187112544,-8852.208691145403
20260305,normal,10,109425.92846679688,-8748.170150820926,-12654.31632824698,-11521.661891599368,-15796.61550277164
20260305,stress,10,109425.92846679688,-18411.102356576797,-24615.590305867965,-22875.52895579052,-28874.346445433817
20260306,normal,1,109627.76440429688,-3418.9452754190693,-5234.905672219998,-4600.6656814869275,-6239.690947768855
20260306,stress,1,109627.76440429688,-5598.1162818415905,-7826.263284656185,-6953.407126976119,-8729.375859565484
20260306,normal,10,109627.76440429688,-8763.744985375988,-12895.75460280733,-11616.52821823362,-15614.355295583966
20260306,stress,10,109627.76440429688,-18013.464704852675,-25858.626724213213,-22609.17721966546,-31087.282814164435
20260309,normal,1,104997.80859375,-3384.8626734321583,-4709.426152332117,-4214.102166512888,-5281.490455030908
20260309,stress,1,104997.80859375,-5276.159709776868,-7350.765571968621,-6518.661807323529,-8008.739612281353
20260309,normal,10,104997.80859375,-8689.355543382395,-12921.481050562106,-11518.381787571085,-14778.527997270916
20260309,stress,10,104997.80859375,-16763.47500352803,-22263.400367762395,-20650.124459107068,-25403.09256915132
20260310,normal,1,106682.04150390624,-2995.396987661142,-4314.038145406613,-3845.98642083404,-5187.642837181551
20260310,stress,1,106682.04150390624,-5406.773055680028,-8118.329411933739,-6925.869809747844,-8913.563999846287
20260310,normal,10,106682.04150390624,-9301.739238544133,-14516.219262507086,-12337.107672873815,-16218.820770018305
20260310,stress,10,106682.04150390624,-16366.319989930103,-23300.720071897707,-20763.4671523756,-27572.989487832943
20260311,normal,1,106965.98657226562,-3298.0210679381817,-4291.266041532247,-3956.40177752347,-4866.888603961668
20260311,stress,1,106965.98657226562,-5291.562646898698,-7859.467017885721,-6812.748780926514,-8846.937066917326
20260311,normal,10,106965.98657226562,-8084.639694305986,-11760.412846879308,-10506.997538155569,-13877.030250793005
20260311,stress,10,106965.98657226562,-17284.229010014187,-23063.724656580784,-21412.430994275383,-28384.17603796962
20260312,normal,1,108077.8330078125,-3297.444454886061,-4562.237871934597,-4063.6083645385806,-5143.332640978016
20260312,stress,1,108077.8330078125,-5106.613107950955,-7592.521588645174,-6588.953852458648,-8524.28359878311
20260312,normal,10,108077.8330078125,-8115.345987793515,-13097.29943932888,-10744.82470801983,-14138.3356252519
20260312,stress,10,108077.8330078125,-16428.7973572029,-23324.424007867405,-20181.373476207315,-26188.023604928097
20260313,normal,1,105633.04174804688,-3027.489202801032,-4416.991671900891,-3793.3280632646033,-5004.652700664149
20260313,stress,1,105633.04174804688,-4939.066222181777,-7087.659736169304,-6230.494654911931,-8114.27474203276
20260313,normal,10,105633.04174804688,-8546.452288233128,-12425.125929954662,-10751.636023116263,-13755.907237696452
20260313,stress,10,105633.04174804688,-16939.510967270602,-21800.2268679189,-20699.300146035795,-27242.069850485623
20260316,normal,1,106458.37670898438,-2988.153517396116,-4340.829624410113,-3805.413277003999,-4986.6793674916735
20260316,stress,1,106458.37670898438,-5434.412805788601,-7550.156556294352,-6723.072499438821,-8659.223187123524
20260316,normal,10,106458.37670898438,-7406.466405672488,-11474.40169804521,-9882.02755959324,-13989.789658405987
20260316,stress,10,106458.37670898438,-18393.425799646306,-25477.45457347723,-22334.976496044077,-27472.339705556555
20260317,normal,1,108351.24072265624,-2978.6274139999805,-4244.980158200814,-3717.8584438449384,-4822.944517535393
20260317,stress,1,108351.24072265624,-5569.770072640216,-7081.079037706725,-6626.582897898763,-8138.465154558218
20260317,normal,10,108351.24072265624,-8112.335571814428,-12207.440154193991,-10588.507690296829,-13434.691543551417
20260317,stress,10,108351.24072265624,-18066.64948399725,-23670.32391465357,-21881.013221916994,-27614.236319087435
20260318,normal,1,111262.80810546876,-3321.8813094199427,-4593.63619058877,-4219.820630713407,-5597.688790624553
20260318,stress,1,111262.80810546876,-5718.73273132997,-7683.182441077729,-7237.472744699544,-9063.799566395412
20260318,normal,10,111262.80810546876,-7566.739739387636,-10923.659286570626,-9856.873796946744,-13179.445430297275
20260318,stress,10,111262.80810546876,-17797.613649125018,-25820.403368529573,-22875.392484413747,-29575.091796457116
20260319,normal,1,108289.49658203124,-3278.9166304437313,-5025.567178228371,-4327.876858004882,-5513.572834233948
20260319,stress,1,108289.49658203124,-5546.253804195743,-7425.281095417729,-6844.877712234452,-8899.462242000309
20260319,normal,10,108289.49658203124,-8185.782560234485,-12013.761147576117,-10579.747846567328,-14037.23778000198
20260319,stress,10,108289.49658203124,-16931.022192484565,-24424.876413830247,-21451.14315493372,-28536.558072119205
20260320,normal,1,108289.49658203124,-3165.785150922092,-4958.065959515639,-4270.386970139669,-5670.409576045568
20260320,stress,1,108289.49658203124,-5325.848214649263,-7199.848721894418,-6344.788871285204,-8056.178604511573
20260320,normal,10,108289.49658203124,-7812.72122080686,-12212.2981590967,-10739.70883436752,-15025.866531983538
20260320,stress,10,108289.49658203124,-17385.461986669394,-23606.69744551851,-21946.422206913187,-29453.408501207705
20260323,normal,1,104812.19384765624,-3239.133271244728,-4920.282703219482,-4184.807001052521,-5460.325031329105
20260323,stress,1,104812.19384765624,-5237.545140303291,-7490.466088542099,-6737.236225655754,-9479.95141041012
20260323,normal,10,104812.19384765624,-7253.352071738172,-11271.554462823538,-9724.811610794375,-12466.855587497264
20260323,stress,10,104812.19384765624,-17258.83229515694,-24851.682112119044,-21455.949565508952,-28561.237765443067
20260324,normal,1,105289.26000976562,-3106.8314719101368,-4429.838191999008,-3981.8343115672506,-5363.774111207492
20260324,stress,1,105289.26000976562,-5210.755084967828,-7088.648296079995,-6515.109125098894,-8140.326510334114
20260324,normal,10,105289.26000976562,-8432.753170210093,-11929.107880342024,-11232.216219213244,-15340.403098043902
20260324,stress,10,105289.26000976562,-17271.452074162546,-23645.14149361005,-21156.37989215813,-27086.076445903564
20260325,normal,1,107239.26049804688,-3188.0893781333093,-4370.55253203141,-4024.558522870453,-4993.867150445128
20260325,stress,1,107239.26049804688,-5431.625946729891,-7369.749224925104,-6728.516813554083,-8762.880279980567
20260325,normal,10,107239.26049804688,-8735.220252713352,-12503.430200298031,-10752.727055493691,-13667.32753123785
20260325,stress,10,107239.26049804688,-17753.402601053254,-26181.34164655835,-22269.876138417003,-28746.715831910307
20260326,normal,1,106201.06787109376,-2994.273870102638,-3985.129598427118,-3690.0596739711104,-4582.712167341912
20260326,stress,1,106201.06787109376,-5458.647084177647,-7398.207912652007,-6634.643229590983,-8410.113360230498
20260326,normal,10,106201.06787109376,-7764.040187955044,-11596.513323773775,-9982.310333229538,-12943.826142812772
20260326,stress,10,106201.06787109376,-18057.10163018545,-23898.65793120382,-21179.77139919882,-26326.416117593308
20260327,normal,1,106057.0,-2994.620176997061,-4209.369391291901,-3715.314329287108,-4798.96091927872
20260327,stress,1,106057.0,-5209.3911928280795,-7357.620740653909,-6488.916388928702,-8325.061126341872
20260327,normal,10,106057.0,-7543.901059041604,-11167.114299927398,-9665.549303711785,-12739.513406545932
20260327,stress,10,106057.0,-16756.40560151621,-22885.0105807443,-20239.53543877492,-24054.31012017335
20260330,normal,1,103950.5,-2934.890943306328,-4046.038643394424,-3666.4967084716945,-4638.3029820542015
20260330,stress,1,103950.5,-5114.332948376488,-6898.162524972183,-6302.738618949645,-7967.147872648163
20260330,normal,10,103950.5,-7641.21567192086,-11319.8932708276,-9916.431442473207,-12869.651651965663
20260330,stress,10,103950.5,-18203.096116537432,-24913.598776663344,-22270.961589147355,-28049.58164751996
20260331,normal,1,100131.0,-3046.784968922002,-3995.602671055408,-3769.560960251647,-4693.827315673154
20260331,stress,1,100131.0,-5239.91203437113,-6945.965324875787,-6373.014381448872,-8302.707473125953
20260331,normal,10,100131.0,-7744.563585752802,-10975.213629582817,-9631.026164706444,-12571.233720213017
20260331,stress,10,100131.0,-16845.00892206044,-23501.011121304786,-21197.50601724333,-27488.16828483966
20260401,normal,1,106573.0,-3172.629494682301,-4445.112553470344,-4011.13270693151,-5226.817617334316
20260401,stress,1,106573.0,-5437.202028438663,-7737.622808164589,-6858.315874663132,-8591.78875583934
20260401,normal,10,106573.0,-8940.84465212612,-12069.080372736256,-11556.566315338358,-16465.901488792788
20260401,stress,10,106573.0,-17709.260462794457,-22949.257969914514,-21158.00990622851,-25299.83403985461
20260402,normal,1,106415.5,-3181.6345189558397,-4893.72989821063,-4040.9295159797,-5291.572129474714
20260402,stress,1,106415.5,-5198.908533988568,-7378.849165500989,-6394.655814691751,-8107.734424141015
20260402,normal,10,106415.5,-8612.41141152,-12989.06642272211,-11190.767639439056,-14313.950127085238
20260402,stress,10,106415.5,-17519.60923520736,-23407.188770927576,-21380.832185941515,-26717.408591248815
20260403,normal,1,107418.5,-3506.3684774789485,-5067.357029122076,-4442.162141071137,-5741.488346141448
20260403,stress,1,107418.5,-5261.787331699317,-6989.50949918612,-6371.3293740098015,-8127.4268778155965
20260403,normal,10,107418.5,-8902.23325435568,-13462.027858176258,-11715.925527126188,-15285.905603824376
20260403,stress,10,107418.5,-16260.435314824856,-24959.31229217675,-21673.01931178301,-28577.483270631317
20260406,normal,1,106707.0,-3215.167696657415,-4519.490905503359,-4012.195331740513,-5097.096759307156
20260406,stress,1,106707.0,-5176.771064585892,-7658.272925720686,-6604.31612867971,-8443.169316120478
20260406,normal,10,106707.0,-8469.986738723177,-11587.39031404041,-10707.015503796125,-13799.739722764589
20260406,stress,10,106707.0,-16539.40329194472,-22958.64318779608,-20410.27325541338,-26571.60866409674
20260407,normal,1,107353.0,-3160.4697373201525,-4695.714727698243,-4032.3205830343354,-5478.863643776381
20260407,stress,1,107353.0,-5911.724575562448,-7947.6667337692,-7193.500504848658,-9065.92028293975
20260407,normal,10,107353.0,-8244.347985797061,-13470.661283816644,-11385.388003411856,-15810.533752513056
20260407,stress,10,107353.0,-16393.34064052499,-23790.13453967995,-21046.87828955971,-26997.947056135843
20260408,normal,1,111552.5,-3448.973661747299,-4639.803465931025,-4262.016542505957,-5508.960209670791
20260408,stress,1,111552.5,-5842.255687733135,-7515.36365947216,-6884.688220563436,-8464.724809471712
20260408,normal,10,111552.5,-8606.61015852121,-12596.0727117348,-11198.65054311862,-15166.48976834099
20260408,stress,10,111552.5,-18997.918748688033,-26128.52908745172,-23086.624539944456,-28631.28834608492
20260409,normal,1,110477.5,-3201.8308397289516,-4860.890450014077,-4037.0622523880975,-5291.169289234461
20260409,stress,1,110477.5,-5585.583405635159,-7292.804135071054,-6898.017862589493,-8971.230208382261
20260409,normal,10,110477.5,-8670.463847026378,-12505.499374520594,-11250.760350107008,-15517.477189636304
20260409,stress,10,110477.5,-18061.715603617955,-25715.91717422238,-22684.580122135143,-29704.835775696352
20260410,normal,1,111697.5,-3202.622110174029,-4749.785397494639,-4222.687823054604,-6012.210320988395
20260410,stress,1,111697.5,-5824.650025576992,-7812.73045661822,-7092.184622155514,-8757.381704896019
20260410,normal,10,111697.5,-9156.045755317578,-13219.086045779044,-11574.722984579208,-14703.846857973753
20260410,stress,10,111697.5,-17930.671477047254,-26699.48060818131,-23043.58619623545,-31322.13793433541
20260413,normal,1,109892.5,-3158.3866389604505,-4776.062659173518,-4202.937525479831,-5503.860401901393
20260413,stress,1,109892.5,-5467.581903344685,-7506.0196957228545,-6755.334973174044,-8547.269982057269
20260413,normal,10,109892.5,-9224.730387026244,-13038.994038858153,-11609.009810871688,-15039.733246809594
20260413,stress,10,109892.5,-18534.570365589017,-24934.931630766663,-22962.006721504546,-29371.60686685249
