scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,34025.62890625,-1504.2018883746155,-1971.704935765171,-1825.608391454819,-2341.210586130243
stress,1,34025.62890625,-2548.8192019322373,-3551.4783403580464,-3144.644876403846,-3885.0379476200733
normal,10,34025.62890625,-4559.887102770902,-6948.883167205321,-5953.458974234921,-7650.114903615002
stress,10,34025.62890625,-7056.079888463703,-10300.930365030159,-8954.697370002035,-11583.24646939665
