scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,34025.62890625,-1522.261440356931,-2201.784812118958,-1963.1996880565455,-2575.245721399369
stress,1,34025.62890625,-2393.230048242652,-3284.504458999575,-2936.221672627862,-3663.568942342031
normal,10,34025.62890625,-4905.717114353015,-6592.188377718555,-5961.462654223866,-7538.888687030647
stress,10,34025.62890625,-7178.137226887843,-9773.637921171952,-9041.730884060102,-11592.961222023669
