sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2818.4437066281703,-4247.504934486464,-3825.3949893316876,-5093.030283440755
1,7011.T,-2228.8120805889675,-3113.1229075024544,-2767.7651880121057,-3541.1574295087426
1,8035.T,-2110.1741096908268,-3146.607729944634,-2752.772694015592,-3708.2771435989935
10,4568.T,-6306.861970127898,-9704.509578017973,-8303.579935314912,-10683.752334974668
10,7011.T,-5661.690552553579,-8352.572336995165,-7427.716475383556,-9145.079428960707
10,8035.T,-5256.896035514619,-7753.866924579441,-6857.262199077237,-9068.210186087405
