sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2708.7158458457875,-4159.202987338114,-3637.7200083677003,-4794.360903730738
1,7011.T,-2128.2479745253545,-3133.811085950134,-2683.2036648669628,-3435.3145419013517
1,8035.T,-2142.6861656734823,-2798.199702514146,-2563.5994639011274,-3075.1569440477274
10,4568.T,-6904.112195023354,-10439.95485836384,-9159.706864567035,-12802.688995843298
10,7011.T,-6005.084846746708,-8381.51813287095,-7429.706535115887,-9227.696427668694
10,8035.T,-5301.9743432423775,-7347.312824692775,-6672.2691482345235,-8626.74743621534
