scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,111588.77221679688,-3440.864794192698,-5223.5787733771585,-4534.962996040444,-5794.425032928724
stress,1,111588.77221679688,-5751.968078317601,-8074.580092122384,-7166.321936109835,-9135.442274253344
normal,10,111588.77221679688,-9229.603609613048,-12968.874433620236,-11926.005782615508,-16298.55682046917
stress,10,111588.77221679688,-18287.06385130496,-25677.90682718242,-23418.8339528736,-28930.481857077284
