sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3131.4181999792363,-4401.244287368876,-4016.25372194788,-4931.440834957967
1,7011.T,-2157.6952305070813,-2975.147285716831,-2719.652807301575,-3291.957316682298
1,8035.T,-2262.9202854242003,-3307.102026822297,-2924.63372659412,-3834.072832480603
10,4568.T,-8434.605867815037,-12602.711614127651,-11350.855379934274,-15239.388064909257
10,7011.T,-6799.052857454344,-9826.949608749183,-8675.350940225473,-11171.886285317229
10,8035.T,-6410.191705422749,-9702.372982336534,-8468.659181422552,-11252.081954615478
