scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,36325.73046875,-1688.665470855008,-2253.601890721032,-2088.8593203060327,-2710.308278917867
stress,1,36325.73046875,-2508.440673450034,-3621.351942335561,-3168.5064505362884,-4056.8945454195245
normal,10,36325.73046875,-4985.556988634951,-7114.503495181255,-6319.65372009348,-7943.43727926539
stress,10,36325.73046875,-7748.221967257385,-10300.487292380414,-9274.356480517006,-11247.42938980378
