scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,107353.0,-3160.4697373201525,-4695.714727698243,-4032.3205830343354,-5478.863643776381
stress,1,107353.0,-5911.724575562448,-7947.6667337692,-7193.500504848658,-9065.92028293975
normal,10,107353.0,-8244.347985797061,-13470.661283816644,-11385.388003411856,-15810.533752513056
stress,10,107353.0,-16393.34064052499,-23790.13453967995,-21046.87828955971,-26997.947056135843
