sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3174.667331031576,-4329.95011191993,-4065.032280428277,-5298.719494244231
1,7011.T,-2267.639084505868,-3187.5383644199965,-2891.31537795392,-3629.298506953616
1,8035.T,-2298.362757308481,-3058.7668065320267,-2776.4969205639995,-3507.4617643959946
10,4568.T,-8178.694431814808,-14060.926298744233,-11193.955723502957,-15722.051278358009
10,7011.T,-6699.07242859143,-10133.514757902603,-8751.777530452739,-11343.268994454522
10,8035.T,-6007.547335030256,-10066.190476560818,-8101.924359426201,-11283.381872968523
