scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,108351.24072265625,-2978.6274139999805,-4244.980158200814,-3717.8584438449384,-4822.944517535393
stress,1,108351.24072265625,-5569.770072640216,-7081.079037706725,-6626.582897898763,-8138.465154558218
normal,10,108351.24072265625,-8112.335571814428,-12207.440154193993,-10588.507690296827,-13434.691543551415
stress,10,108351.24072265625,-18066.64948399725,-23670.32391465357,-21881.013221916994,-27614.236319087435
