scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,30704.36328125,-1485.6078102674792,-2013.1318299654042,-1782.4765976633626,-2192.980239554053
stress,1,30704.36328125,-2021.9100778020904,-2658.5460328451945,-2416.790377282187,-2947.6549486825843
normal,10,30704.36328125,-4427.97195761969,-6414.393570095815,-5619.623258866137,-7094.743328085899
stress,10,30704.36328125,-6526.633281911393,-8619.668352441944,-7986.685964586084,-10744.261836926593
