sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3791.5992225820687,-5390.954631094466,-4809.649218053587,-6533.6814082825085
1,7011.T,-2906.632949468421,-3980.1436190084814,-3594.807835342147,-4478.3991897891565
1,8035.T,-2941.6796133581324,-4057.5869565021967,-3647.641208601355,-4729.939732463527
10,4568.T,-9290.564015399235,-12854.17651952488,-11342.717336938002,-14412.860653894819
10,7011.T,-8091.380375778567,-11335.308162817139,-10019.871171950108,-12983.057990343417
10,8035.T,-6970.849924876612,-11012.410753638855,-9327.191518084319,-12924.252836066189
