scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,115513.00708007812,-4241.820087386691,-5549.7170588753315,-5155.888766462811,-6364.551221864354
stress,1,115513.00708007812,-6421.838935876655,-8025.796371173762,-7425.387829562682,-9484.15475651361
normal,10,115513.00708007812,-11024.705134927497,-15220.119085038563,-14143.803078150977,-18027.34914306529
stress,10,115513.00708007812,-18118.32008856609,-25140.329024514554,-22859.50071552797,-30623.26819680466
