scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,112292.38549804688,-3855.6864664549435,-4830.32319664271,-4590.258488553236,-5839.18564574803
stress,1,112292.38549804688,-5942.9626080728385,-7947.384833274514,-7049.593482867243,-8759.982675179786
normal,10,112292.38549804688,-9731.29557432704,-13559.515416499951,-12344.553972022952,-16978.559630840533
stress,10,112292.38549804688,-17197.508136498906,-24704.427193564945,-22195.00781245045,-29932.144846930158
