sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2769.2588604855646,-4424.284521270112,-3804.9315457390876,-4940.131354311292
1,7011.T,-2264.8688660629273,-3260.1074576745345,-2825.0248584688634,-3461.1961093800965
1,8035.T,-2139.2435272889816,-3191.5801323655396,-2828.3415607064676,-3730.823193526144
10,4568.T,-7958.5744724631295,-12002.311215943831,-10652.612489650259,-14401.751744218182
10,7011.T,-6560.69651691318,-10750.37287676111,-8740.951070382685,-11460.822222928155
10,8035.T,-6196.713324950139,-9909.31981538064,-8378.491224557625,-10933.600695854175
