sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2959.8636301868537,-4507.341995386537,-3905.1215128136155,-5042.547452682324
1,7011.T,-2071.039429078671,-2881.6545583463812,-2606.3120860217346,-3267.08374535841
1,8035.T,-2213.257430786657,-3282.044269258278,-2938.044639371013,-3847.6243556944537
10,4568.T,-8174.745389230128,-11450.582404480985,-10041.638583636068,-12966.892049907057
10,7011.T,-6254.0246490661,-8962.497450387737,-7704.41915299001,-9883.732673192077
10,8035.T,-6533.066552884665,-8747.04482187649,-7923.352210203887,-10190.43149992813
