sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3621.4770715949608,-4772.247783666414,-4404.270230780365,-5324.089006942803
1,7011.T,-2268.8463123574497,-3115.7174446174677,-2810.2758407727374,-3393.422044525015
1,8035.T,-2778.6563894777073,-3760.536589009376,-3387.974690149548,-4169.829436274109
10,4568.T,-7387.311180320135,-12164.462229469722,-10727.102396012524,-14683.186079563671
10,7011.T,-6210.285245293176,-8703.133332673428,-7925.136540656409,-10663.021817602601
10,8035.T,-6682.901477273095,-9234.016864192758,-8402.934544628459,-11274.743227442043
