scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,33529.91796875,-1772.9109930918526,-2412.8730732188737,-2179.7847996766636,-2816.9551233929274
stress,1,33529.91796875,-2198.0518271972705,-3157.752315167723,-2744.7498570355738,-3574.729941867498
normal,10,33529.91796875,-4673.08755182101,-6658.197579184832,-5839.260874953321,-7469.278841388415
stress,10,33529.91796875,-6971.267749318268,-9909.263892873987,-8888.555922542982,-10768.745973857262
