scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,33936.40234375,-1452.890853246597,-2174.8885156075426,-1841.7723296455108,-2451.7149860872405
stress,1,33936.40234375,-2368.154628851686,-3347.159894981775,-2996.112710269178,-3849.3524382865
normal,10,33936.40234375,-4791.72831323905,-6435.60538581657,-5859.622179775047,-7783.788119577352
stress,10,33936.40234375,-7346.0438420912415,-10407.4570687857,-9178.455206621336,-11953.16924744184
