sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2961.288450694339,-4010.6609527083365,-3603.2863600105634,-4712.150218407116
1,7011.T,-2245.6959631708614,-3323.4316161645115,-2832.2853054421034,-3665.3955995481765
1,8035.T,-2073.870761918283,-2874.170173724815,-2603.091265791767,-3266.7574456162833
10,4568.T,-8191.238517810937,-13119.866321288204,-10902.700423261755,-14541.71332927783
10,7011.T,-6712.772383803183,-9471.33954242552,-8439.741830840803,-10940.663046760932
10,8035.T,-6015.521005511504,-8951.723261249106,-8119.542228299342,-11211.292755565659
