scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,106201.06787109375,-2994.273870102638,-3985.129598427118,-3690.0596739711104,-4582.712167341912
stress,1,106201.06787109375,-5458.647084177647,-7398.207912652007,-6634.643229590983,-8410.113360230498
normal,10,106201.06787109375,-7764.040187955044,-11596.513323773777,-9982.310333229538,-12943.826142812773
stress,10,106201.06787109375,-18057.10163018545,-23898.65793120382,-21179.77139919882,-26326.416117593308
