scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,108077.8330078125,-3297.444454886061,-4562.237871934597,-4063.6083645385806,-5143.332640978016
stress,1,108077.8330078125,-5106.613107950955,-7592.521588645174,-6588.953852458648,-8524.28359878311
normal,10,108077.8330078125,-8115.345987793515,-13097.29943932888,-10744.82470801983,-14138.3356252519
stress,10,108077.8330078125,-16428.7973572029,-23324.424007867405,-20181.373476207315,-26188.023604928097
