scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,34035.54296875,-1545.4089087411076,-2165.1975179050214,-1927.6992111272193,-2396.4104066223226
stress,1,34035.54296875,-2368.775532301568,-3158.7807065992347,-2863.865148911549,-3611.815754325915
normal,10,34035.54296875,-4359.57055008596,-6031.87925425259,-5460.847314024089,-7004.633951083119
stress,10,34035.54296875,-7205.384566164755,-10285.785489350514,-9223.876947182313,-12308.732012275368
