scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,111789.03979492188,-3242.168036828809,-5252.3577839901845,-4400.331609947525,-5905.545567121046
stress,1,111789.03979492188,-5680.995997585726,-7735.4771109341855,-7008.92160045063,-8484.668823256761
normal,10,111789.03979492188,-9642.114371386968,-15600.06641990895,-12913.018137927298,-17626.877170390544
stress,10,111789.03979492188,-18529.836691512497,-24195.993104759502,-22082.07709874582,-27305.16204669047
