excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
4568.T,-7801.093660218772,-11746.436142074923,-10374.576815858742,-14204.872564058818
7011.T,-6394.249907826962,-9169.369078347672,-8225.66090984861,-10884.756101086876
8035.T,-6012.54242779811,-9038.378633962557,-7838.34661349252,-10731.671357053734
