sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2660.221612266359,-3829.398012473229,-3329.643687521104,-4273.480221888884
1,7011.T,-2108.098620443559,-2771.0959766098567,-2591.6241842022846,-3345.303757726414
1,8035.T,-2105.9462248032246,-2929.1073929711597,-2614.2089303448915,-3228.5160550756614
10,4568.T,-6616.26443317865,-9097.462567932864,-8215.296725737095,-10420.25327484644
10,7011.T,-5393.507173760371,-7710.694810501957,-7119.661184983678,-9793.413877506118
10,8035.T,-5352.81410417266,-8042.898684258437,-7140.924892002562,-9440.882522446309
