scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,114661.33251953125,-3777.9045618894866,-5594.038758629695,-4907.304470450083,-6462.960631641635
stress,1,114661.33251953125,-5975.0035988564505,-8044.557016690322,-7358.176543561645,-9429.0059620831
normal,10,114661.33251953125,-9718.04516955797,-13990.684968796912,-12943.194909424335,-17394.817396705283
stress,10,114661.33251953125,-20367.779808606025,-25023.48538156912,-24250.79114003528,-30428.62686954809
