sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3440.450462900883,-4984.419698715393,-4441.412129160677,-5777.5917517263915
1,7011.T,-2406.0886678656307,-3447.134125239164,-3041.0499697490472,-3790.1317625308234
1,8035.T,-2694.1118099240666,-3938.799313516657,-3371.1416158322077,-4414.552360808692
10,4568.T,-8328.114591148085,-12822.764688600886,-11108.557788581686,-15117.960315271343
10,7011.T,-6852.4567583231865,-9595.644131992081,-8684.986274623858,-11675.816114894436
10,8035.T,-7066.250607509971,-11271.579128777697,-9269.335664868559,-12627.255691080929
