scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,111262.80810546875,-3321.8813094199427,-4593.63619058877,-4219.820630713407,-5597.688790624553
stress,1,111262.80810546875,-5718.73273132997,-7683.182441077729,-7237.472744699544,-9063.799566395413
normal,10,111262.80810546875,-7566.739739387636,-10923.659286570626,-9856.873796946744,-13179.445430297277
stress,10,111262.80810546875,-17797.613649125018,-25820.403368529573,-22875.392484413747,-29575.091796457116
