scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,103950.5,-2934.890943306328,-4046.0386433944236,-3666.4967084716945,-4638.3029820542015
stress,1,103950.5,-5114.332948376488,-6898.162524972183,-6302.738618949645,-7967.147872648163
normal,10,103950.5,-7641.21567192086,-11319.893270827599,-9916.431442473207,-12869.651651965663
stress,10,103950.5,-18203.096116537432,-24913.598776663344,-22270.961589147355,-28049.58164751996
