sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-2623.330443205394,-3732.737759351131,-3441.5133018907945,-4745.33034442867
1,7011.T,-2207.1232566049575,-2983.7125038259933,-2658.250265725013,-3489.7851476602564
1,8035.T,-2063.0518404378713,-2868.456659201298,-2522.786516526864,-3335.960852369756
10,4568.T,-6520.233222289427,-9867.957243687399,-8514.317806806279,-11458.072287648927
10,7011.T,-5619.34300067657,-8000.9510683056715,-7065.484407685282,-9133.409540344215
10,8035.T,-5708.035776903537,-7950.675630552193,-7062.453672224449,-8911.449064928089
