sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3246.1912510533907,-4365.001132492316,-3941.8262543439137,-5173.753502130128
1,7011.T,-2484.012536051431,-3476.713645596758,-3112.033457982959,-4012.141518595614
1,8035.T,-2191.383694362859,-2749.227853945985,-2644.6773504780413,-3446.000509928501
10,4568.T,-8257.329702223728,-11980.0583774332,-10666.092737795028,-14438.318278699933
10,7011.T,-6892.823107543024,-9791.330569011387,-8666.628062762666,-11625.098327983587
10,8035.T,-6072.23819195361,-8438.174919678502,-7859.325892501448,-10576.096362060835
