scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,108289.49658203125,-3165.785150922092,-4958.065959515639,-4270.386970139669,-5670.409576045568
stress,1,108289.49658203125,-5325.848214649263,-7199.848721894418,-6344.788871285204,-8056.178604511573
normal,10,108289.49658203125,-7812.72122080686,-12212.298159096701,-10739.708834367519,-15025.866531983538
stress,10,108289.49658203125,-17385.461986669394,-23606.69744551851,-21946.422206913187,-29453.408501207705
