scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,110477.5,-3201.8308397289516,-4860.890450014077,-4037.0622523880975,-5291.169289234461
stress,1,110477.5,-5585.583405635159,-7292.804135071054,-6898.017862589493,-8971.230208382261
normal,10,110477.5,-8670.463847026378,-12505.499374520594,-11250.760350107008,-15517.477189636304
stress,10,110477.5,-18061.715603617955,-25715.91717422238,-22684.580122135143,-29704.835775696352
