scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,106458.37670898438,-2988.153517396116,-4340.829624410113,-3805.413277003999,-4986.6793674916735
stress,1,106458.37670898438,-5434.412805788601,-7550.1565562943515,-6723.072499438821,-8659.223187123524
normal,10,106458.37670898438,-7406.466405672488,-11474.40169804521,-9882.02755959324,-13989.789658405989
stress,10,106458.37670898438,-18393.425799646302,-25477.45457347723,-22334.976496044077,-27472.339705556555
