sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
1,4568.T,-3211.4475853886247,-4470.710241287477,-4023.793384023701,-5103.716287952434
1,7011.T,-2268.1107165396616,-3586.379684297658,-2994.4249907925723,-4218.148445176377
1,8035.T,-2377.161950365705,-3524.7675735138237,-3119.764522586596,-4014.304094758285
10,4568.T,-8493.35516224223,-13156.455755915329,-11643.434917094482,-15384.57167040711
10,7011.T,-7071.987449722817,-11106.026024283587,-9262.088519641213,-11909.893892429289
10,8035.T,-7169.262454606692,-10009.963058524645,-9151.529526348044,-12228.044269549466
