scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
normal,1,113003.10668945312,-3637.9137112235717,-5005.531507214791,-4578.8155277418855,-6168.955892956202
stress,1,113003.10668945312,-5444.260759279928,-7951.562162643808,-6776.525929025261,-8783.095835090358
normal,10,113003.10668945312,-10210.743035297264,-15499.011181654092,-13537.4932057976,-17824.712544988994
stress,10,113003.10668945312,-18405.732726398383,-24715.888125964088,-22329.41686661651,-28376.524100842325
